org_code,org_name,parent_org,persistent_bottom_quartile
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
NLX,SIRONA CARE & HEALTH,NHS ENGLAND SOUTH WEST,False
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RWJ,STOCKPORT NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),True
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
AAH,TETBURY HOSPITAL TRUST LTD,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RBV,THE CHRISTIE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NHS ENGLAND EAST OF ENGLAND (EAST),False
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),True
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),True
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,False
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),True
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),False
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),True
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),True
RBK,WALSALL HEALTHCARE NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RA3,WESTON AREA HEALTH NHS TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RKE,WHITTINGTON HEALTH NHS TRUST,NHS ENGLAND LONDON,False
AXG,WILTSHIRE HEALTH & CARE,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RY7,WIRRAL COMMUNITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),True
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),True
AJN,WORKINGTON HEALTH LIMITED,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RLQ,WYE VALLEY NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),True
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
